,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Debtor status
323,"less, than 0 DM",18,existing credits paid back duly till now,furniture/equipment,2659,"more, than 1000 DM",between 1 & 4 years,4,male & single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,none,yes,good
324,no checking account,18,critical account/other credits existing (not at this bank),car (new),1028,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,none,yes,good
325,"less, than 0 DM",8,critical account/other credits existing (not at this bank),car (new),3398,"less, than 100 DM",between 4 & 7 years,1,male & single,none,4,real estate,39,none,own,2,unskilled & resident,1,none,no,good
326,no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,5801,unknown/no savings account,"more, than 7 years",2,male & single,none,4,building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
327,no checking account,24,existing credits paid back duly till now,car (new),1525,"more, than 1000 DM",between 4 & 7 years,4,female & divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,good
328,"more, than 200 DM",36,existing credits paid back duly till now,radio/television,4473,"less, than 100 DM","more, than 7 years",4,male & single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee/official,1,none,yes,good
329,between 0 & 200 DM,6,existing credits paid back duly till now,radio/television,1068,"less, than 100 DM","more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,2,none,yes,good
330,"less, than 0 DM",24,critical account/other credits existing (not at this bank),car (used),6615,"less, than 100 DM",unemployed,2,male & single,none,4,unknown/no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
331,no checking account,18,critical account/other credits existing (not at this bank),education,1864,between 100 & 500 DM,between 1 & 4 years,4,female & divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,none,yes,bad
332,between 0 & 200 DM,60,existing credits paid back duly till now,car (new),7408,between 100 & 500 DM,"less, than 1 year",4,female & divorced/separated/married,none,2,building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,bad
333,no checking account,48,critical account/other credits existing (not at this bank),car (used),11590,between 100 & 500 DM,between 1 & 4 years,2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",24,bank,rent,2,unskilled & resident,1,none,yes,bad
334,"less, than 0 DM",24,no credits taken/all credits paid back duly,furniture/equipment,4110,"less, than 100 DM","more, than 7 years",3,male & single,none,4,unknown/no property,23,bank,rent,2,skilled employee/official,2,none,yes,bad
335,"less, than 0 DM",6,critical account/other credits existing (not at this bank),furniture/equipment,3384,"less, than 100 DM",between 1 & 4 years,1,male & divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
336,between 0 & 200 DM,13,existing credits paid back duly till now,radio/television,2101,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,guarantor,4,building society savings agreement/life insurance,23,none,own,1,unskilled & resident,1,none,yes,good
337,"less, than 0 DM",15,existing credits paid back duly till now,domestic appliances,1275,unknown/no savings account,between 1 & 4 years,4,female & divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,1,skilled employee/official,1,none,yes,bad
338,"less, than 0 DM",24,existing credits paid back duly till now,furniture/equipment,4169,"less, than 100 DM",between 1 & 4 years,4,male & single,none,4,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,none,yes,good
339,between 0 & 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,"less, than 100 DM",between 1 & 4 years,4,male & divorced/separated,none,2,"car or other, not in attribute 6",31,none,own,1,unskilled & resident,1,none,yes,good
340,between 0 & 200 DM,24,critical account/other credits existing (not at this bank),education,5743,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,none,4,unknown/no property,24,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
341,"less, than 0 DM",21,existing credits paid back duly till now,furniture/equipment,3599,"less, than 100 DM",between 4 & 7 years,1,female & divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,unskilled & resident,1,none,yes,good
342,between 0 & 200 DM,18,existing credits paid back duly till now,radio/television,3213,between 500 & 1000 DM,"less, than 1 year",1,male & married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,none,yes,good
343,between 0 & 200 DM,18,existing credits paid back duly till now,business,4439,"less, than 100 DM","more, than 7 years",1,male & single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
344,"more, than 200 DM",10,existing credits paid back duly till now,car (new),3949,"less, than 100 DM","less, than 1 year",1,male & single,guarantor,1,building society savings agreement/life insurance,37,none,own,1,unskilled & resident,2,none,yes,good
345,no checking account,15,critical account/other credits existing (not at this bank),radio/television,1459,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,2,"car or other, not in attribute 6",43,none,own,1,unskilled & resident,1,none,yes,good
346,between 0 & 200 DM,13,critical account/other credits existing (not at this bank),radio/television,882,"less, than 100 DM","less, than 1 year",4,male & single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,none,yes,good
347,between 0 & 200 DM,24,existing credits paid back duly till now,radio/television,3758,between 500 & 1000 DM,unemployed,1,female & divorced/separated/married,none,4,unknown/no property,23,none,rent,1,unemployed/unskilled & non-resident,1,none,yes,good
348,no checking account,6,delay in paying off in the past,business,1743,between 100 & 500 DM,between 1 & 4 years,1,male & single,none,2,real estate,34,none,own,2,unskilled & resident,1,none,yes,good
349,between 0 & 200 DM,9,critical account/other credits existing (not at this bank),education,1136,"more, than 1000 DM","more, than 7 years",4,male & single,none,3,unknown/no property,32,none,for free,2,skilled employee/official,2,none,yes,bad
350,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,"less, than 100 DM","less, than 1 year",1,female & divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
351,between 0 & 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,"less, than 100 DM",between 1 & 4 years,1,female & divorced/separated/married,none,2,"car or other, not in attribute 6",29,none,own,1,skilled employee/official,1,none,no,bad
352,no checking account,18,critical account/other credits existing (not at this bank),car (used),3229,unknown/no savings account,unemployed,2,male & single,none,4,unknown/no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
353,"less, than 0 DM",12,no credits taken/all credits paid back duly,radio/television,6199,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,building society savings agreement/life insurance,28,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
354,no checking account,10,existing credits paid back duly till now,education,727,between 500 & 1000 DM,"more, than 7 years",4,male & single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
355,between 0 & 200 DM,24,existing credits paid back duly till now,car (new),1246,"less, than 100 DM","less, than 1 year",4,male & single,none,2,real estate,23,stores,own,1,unskilled & resident,1,none,yes,bad
356,no checking account,12,critical account/other credits existing (not at this bank),radio/television,2331,unknown/no savings account,"more, than 7 years",1,male & single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
357,no checking account,36,delay in paying off in the past,radio/television,4463,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,"car or other, not in attribute 6",26,none,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
358,no checking account,12,existing credits paid back duly till now,radio/television,776,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,good
359,"less, than 0 DM",30,existing credits paid back duly till now,furniture/equipment,2406,"less, than 100 DM",between 4 & 7 years,4,female & divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,none,yes,bad
360,between 0 & 200 DM,18,existing credits paid back duly till now,education,1239,unknown/no savings account,between 1 & 4 years,4,male & single,none,4,unknown/no property,61,none,for free,1,skilled employee/official,1,none,yes,good
361,"more, than 200 DM",12,existing credits paid back duly till now,radio/television,3399,unknown/no savings account,"more, than 7 years",2,male & single,none,3,"car or other, not in attribute 6",37,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,good
